A b c	Bảng chữ cái
Outlie	Outlie
Outlustre	Sáng hơn, bóng hơn
Outmarch	Tiến quân nhanh hơn
Outmeasure	Dài hơn
Outpace	Đi nhanh hơn
Outpaint	Vẻ đẹp hơn
Outparish	Giáo khu nông thôn
Outpass	Vượt xa
Outperform	Làm tốt hơn
Outpoint	Thắng điểm
Outport	Cảng ngoài
Outreach	Vượt hơn
Outremer	Màu xanh da trời
Outré	Thái quá, quá đáng
Outridden	Cưỡi ngựa đi trước
Outride	Cưỡi ngựa đi trước
Outrigger	Xà nách
Outright	Hoàn toàn, toàn bộ
Outring	Kêu to hơn, kêu át
Outrival	Vượt, hơn, thắng
Outrode	Cưỡi ngựa đi trước
Outsail	Lèo lái giỏi hơn
Outsang	Hát hay hơn
Outscorn	Miệt thị
Outsell	Bán chạy hơn
Outset	Sự bắt đầu
Outshine	Sáng, chiếu sáng
Outshone	Sáng, chiếu sáng
Outshoot	Bắn giỏi hơn
Outshot	Bắn giỏi hơn
Outshout	Hét to hơn, hét át
Outsing	Hát hay hơn
Outsoar	Bay vượt qua
Outsold	Bán chạy hơn
Outspent	Mệt lử, mệt nhoài
Outstep	Vượt quá, đi quá
Outsung	Hát hay hơn
Outswam	Bơi giỏi hơn
Outswim	Bơi giỏi hơn
Outswum	Bơi giỏi hơn
Outthrew	Lượng phun ra
Outthrow	Lượng phun ra
Outthrown	Lượng phun ra
Outvalue	Có giá trị hơn
Outwardly	Bề ngoài
Outwards	Bên ngoài
Outweep	Khóc dai hơn
Outwept	Khóc dai hơn
Outwind	Làm cho thở dốc ra
Outworld	Thế giới bên ngoài
Outwrest	Cưỡng đoạt
Oval	Đường trái xoan
Ovalbumen	Lòng trắng trứng
Ovaliform	Tính từ
Ovalness	Hình trái xoan
Ovaloid	Mặt trái xoan
Over	Trên, quá
Overabound	Có nhiều
Overall	Khắp cả
Overassist	Giúp đỡ quá mức
Overawe	Quá sợ, quá kính nể
Overbade	Overbade
Overbear	Đè xuống, nén xuống
Overboil	Quá sôi
Overbore	Đè xuống, nén xuống
Overborn	Đè xuống, nén xuống
Overborne	Đè xuống, nén xuống
Overbrim	Làm đầy tràn
Overbuild	Xây trùm lên
Overbuilt	Xây trùm lên
Overburden	Bắt làm quá sức
Overbusy	Quá bận
Overcame	Thắng, chiến thắng
Overcare	Sự quá cẩn thận
Overcloud	Phủ mây, làm tối đi
Overcoat	Áo khoác ngoài
Overcold	Rét quá
Overcolour	Đánh màu quá đậm
Overcome	Thắng, chiến thắng
Overcover	Che kín, phủ kín
Overdear	Quá đắt
Overdose	Liều quá mức
Overdress	Áo mặc ngoài
Overdue	Quá chậm
Overexert	Bắt gắng quá sức
Overfed	Cho ăn quá mức
Overfeed	Cho ăn quá mức
Overfill	Làm đầy tràn
Overfilm	Phủ kín
Overfire	Sự quá lửa
Overflow	Sự dàn
Overfulfil	Hoàn thành vượt mức
Overfull	Đầy quá
Overgauge	Sự vượt kích thước
Overgaze	Nhìn lướt qua
Overgild	Mạ vàng, thiếp vàng
Overgilt	Mạ vàng, thiếp vàng
Overglance	Liếc nhìn qua
Overgraze	Chăn thả quá mức
Overgreat	Quá đồ sộ
Overgrew	Mọc cao lên
Overground	Trên mặt đất
Overgrow	Mọc cao lên
Overgrown	Mọc cao lên
Overhang	Phần nhô ra
Overhappy	May mắn quá yêu cầu
Overhear	Nghe trộm
Overheard	Nghe trộm
Overhoused	Ở nhà quá rộng
Overhung	Phần nhô ra
Overjoyed	Vui mừng khôn xiết
Overjump	Nhảy quá
Overkind	Quá tốt, quá tử tế
Overknee	Lên quá gối
Overlade	Overlade
Overladen	Chất quá nặng
Overland	Qua đất liền
Overlaping	Dẫm lên nhau
Overlarge	Quá rộng
Overleap	Nhảy qua, vượt qua
Overlong	Dài quá
Overlooker	Người giám sát
Overlord	Chúa tể
Overlove	Yêu thương quá mức
Overlying	Đè lên trên
Overman	Người lânh đạo
Overmaning	Quá nhiều người
Overmanner	Quá mức
Overmany	Nhiều quá
Overmark	Đánh dấu lên trên
Overmature	Sự chín nẫu
Overmodest	Quá khiêm tốn
Overmost	Cao nhất
Overmount	Siêu việt
Overmuch	Quá, quá nhiều
Overnice	Quá tỉ mỉ
Overnicety	Tính quá tỉ mỉ
Overnight	Qua đêm
Overpass	]
Overpoise	Cân nặng hơn
Overpower	Áp đảo, chế ngự
Overpraise	Lời khen quá đáng
Overquick	Quá nhạy
Overrate	Đánh giá quá cao
Overrated	Được đánh giá cao
Overripe	Chín nẫu
Overrule	Cai trị, thống trị
Oversaw	Trông nom, giám thị
Oversee	Trông nom, giám thị
Overseen	Trông nom, giám thị
Overseer	Giám thị
Oversell	Bản vượt số dự trữ
Overset	Làm đảo lộn, lật đổ
Oversew	May nối vắt
Oversewn	May nối vắt
Overshade	Che bóng lên
Overshadow	Che bóng, che mắt
Overshine	Sáng hơn
Overshone	Sáng hơn
Overshoot	Bắn quá đích
Overshot	Chạy bằng sức nước
Oversight	Điều lầm lỗi
Oversize	Vật ngoại khổ
Oversized	Vật ngoại khổ
Overskirt	Quần ngoài
Oversleeve	Tay áo giả
Oversmoke	Hút quá nhiều
Oversold	Bản vượt số dự trữ
Oversoon	Quá gấp
Overspill	Lượng tràn ra
Overstrain	Sự căng quá mức
Overstride	Vượt, hơn, trội hơn
Overstrode	Vượt, hơn, trội hơn
Overstudy	Sự xem xét quá mức
Oversubtle	Quá tế nhị
Oversupply	Sự cung cấp quá mức
Oversweet	Ngọt quá, ngọt lự
Overtake	Bắt kịp, vượt
Overtaken	Bắt kịp, vượt
Overtax	Đánh thuế quá nặng
Overtoil	Việc làm thêm
Overtook	Bắt kịp, vượt
Overturn	]
Overtype	Chế độ đánh chồng
Overuse	]
Overvalue	Đánh giá quá cao
Overveil	Che phủ
Overwater	Tắm quá lâu
Overween	Tự cao quá mức
Overwent	Quá khứ của overgo
Overwork	Sự làm việc quá sức
Ovicapsule	Vỏ trứng
Ovicide	Thuốc diệt trứng
Ovicular	Thuộc trứng
Oviform	Hình trứng
Ovocentre	Tâm trứng
Ovocyst	Kén trứng thụ tinh
Ovogenesis	Sự phát sinh trứng
Ovoid	Dạng trứng
Ovoidal	Dạng trứng
Ovology	Noãn học
Ovoplasm	Chất tế bào trứng
Ovum	Trứng
Owing	Còn phải trả nợ
Owing to	Do vì, bởi vì
Owler	Người bán hàng cấm
Owlery	Tổ cú
Owllet	Cú con
Own brand	Hàng dán nhãn hiệu
Owner	Người chủ, chủ nhân
Ownerless	Vô chủ
Ownership	Quyền sở hữu
Oxblood	Màu đỏ nâu
Oxer	Hàng rào quây bò
Oxherd	Người chăn bò
Oxidable	Có thể oxi hoá
Oxidant	Chất oxy hoá
Oxidate	Làm gì
Oxidic	Thuộc oxit
Oxidise	Làm gỉ
Oxidizable	Có thể gỉ
Oxidize	Làm gỉ
Oxidizer	Chất oxy hoá
Oxter	Mặt trong cánh tay
Oxybiotic	Ưa oxy
Oxydactyl	Có ngón thon nhọn
Oxydate	Oxi hoá
Oxygenic	Tính từ
Oxygon	Vật thể có góc nhọn
Oxymel	Xi rô mật ong giấm
Oxyopia	Sự rất tinh
Oxysalt	Muối có oxy
Oxytocic	Làm đẻ nhanh
Oysterer	Người bán sò
Oysterman	Người bán sò
Ozostomia	Sự thối mồm
P and o	P and o
Pace	Bước chân, bước
Pacemaker	Người dẫn đầu
Pachisi	Loại cờ tướng ấn độ
Pacificate	Giảng hoà
Pacificism	Chủ nghĩa hoà bình
Pacifier	Người bình định
Pacifism	Chủ nghĩa hoà bình
Pacify	Dẹp yên
Packaged	Được đóng gói
Packaging	Bao bì
Packed	Nhồi nhét
Packer	Máy gói hàng
Packet	Gói nhỏ
Packing	Sự hợp lại
Packman	Người bán hàng rong
Packsand	Cát kết mịn
Packthread	Chỉ khâu bao bì
Packwall	Tường đá
Pact	Hiệp ước, công ước
Padlock	Cái khoá móc
Padstone	Đá kê
Paederasty	Thói đồng dâm nam
Paella	Cơm thập cẩm
Pagandom	Giới đạo nhiều thần
Pageant	Đám rước lộng lẫy
Pageantry	Cảnh lộng lẫy
Paginal	Theo từng trang
Paginary	Theo từng trang
Paginate	Đánh số trang
Pagination	Sự đánh số trang
Pagoda	Chùa
Pagoscope	Thấp khí kế
Paid	Nộp, thanh toán
Paideutic	Giáo học pháp
Paidology	Môn nhi đồng học
Pail	Cái thùng, cái xô
Paillasse	Nệm rơm
Painfully	Đau đớn, đau khổ
Painless	Không đau đớn
Paint	Sơn
Paintbrush	Bút vẽ
Painter	Thợ sơn
Painting	Sự sơn
Paintress	Nữ hoạ sĩ
Paintwork	Lớp sơn
Pairing	Danh từ
Pairwise	Từng đôi
Paktong	Bạch đồng
Palace	Lâu đài
Palaeolith	Thời kỳ đồ đá cũ
Palankeen	Kiệu, cáng
Palanquin	Kiệu, cáng
Palatable	Ngon
Palatably	Ngon
Palatial	Nguy nga
Palaver	Lời nói ba hoa
Palea	Vảy lá
Paled	Có hàng rào
Palely	Làm xanh xao
Paling	Những cọc rào
Pall	Vải phủ quan tài
Pallet	Ổ rơm, nệm rơm
Palliasse	Nệm rơm
Pallid	Xanh xao, vàng vọt
Pallidly	Xanh xao, vàng vọt
Palmar	Trong lòng bàn tay
Palmary	Đáng khen
Palmatifid	Xẻ chân vịt nông
Palmer	Thầy tu hành khất
Palmigrade	Đi bằng bàn chân
Palmist	Người xem tướng tay
Palmistry	Thuật xem tướng tay
Palmy	Nhiều cây cọ
Palpable	Sờ mó được
Palpebra	Mí mắt
Palpicorn	Râu sờ
Palpitate	Hồi hộp
Palpocil	Sợi sờ
Palter	Quanh co không thực
Paltry	Đáng khinh, ti tiện
Paludal	Đầm lầy
Paludinal	Thuộc đầm lầy
Paludine	Paludinous
Palustral	Lắm đầm lầy
Palynology	Môn phấn hoa
Pamper	Nuông chiều, làm hư
Panacea	Thuốc bách bệnh
Pandanus	Cây dứa dại
Pane	Ô cửa kính
Panegerise	Ca ngợi, tán tụng
Panegyric	Bài tán tụng
Panegyrize	Ca ngợi, tán tụng
Panelling	Gỗ để đóng ván
Pangamic	Ngẫu giao
Pangen	Pangen
Pangenesis	Thuyết pangen
Panhandle	Cán xoong
Panhandler	Xin xỏ
Paniculate	Có chu
Panivorous	Ăn bánh mì
Panmictic	Hỗn giao
Pannier	Sọt, thúng, gi
Panocha	Panoche
Panoplied	Mặc áo giáp đầy đ
Panoply	Bộ áo giáp
Pansophic	Pansophical
Pantalets	Quần đàn bà
Panter	Người thở hổn hển
Pantheism	Thuyết phiếm thần
Pantheon	Đền thờ bách thần
Pantile	Ngói cong, ngói bò
Pantingly	Hổn hển
Panto	Diễn viên kịch câm
Pantometer	Thước đo vạn năng
Pantomime	Diễn viên kịch câm
Pantomorph	Dạng kịch câm
Pantophagy	Tính ăn tạp
Pantoscope	Máy chiếu toàn cảnh
Pants	Quần lót dài
Panzer	Thiết giáp
Papacy	Chức giáo hoàng
Papain	Papain
Papaver	Cây thuốc phiện
Papaw	Cây đu đủ
Papaya	Cây đu đủ
Paperback	Sách bìa mềm
Paperwork	Công việc giấy tờ
Papery	Mỏng như giấy
Papism	Công giáo
Papoose	Trẻ con người da đỏ
Pappy	Sền sệt
Paprika	Ớt cựa gà
Papyri	Cây cói giấy
Papyrus	Cây cói giấy
Parabasal	Tính từ
Parable	Truyện ngụ ngôn
Parabola	Parabôn
Paraboloid	Parabôloit
Parabomb	Bom dù nổ chậm
Parachuter	Người nhảy dù
Paraconvex	Para lồi
Parade	Sự phô trương
Paraderm	Màng bọc nhộng con
Paradiddle	Hồi trống diễu hành
Paradigm	Mẫu
Paradox	Nghịch lý
Paradrome	Hành lang không mái
Parafrons	Vùng trán mắt
Paragon	Tuyệt phẩm
Paralegic	Người bị chứng liệt
Paralimnic	Ở ven hồ
Parallel	Vĩ tuyến
Paralysed	Làm đờ người
Paramagnet	Chất thuận từ
Parameter	Thông số, tham số
Paramount	Tối cao
Paramylon	Hạt tinh bột
Paranasal	Bên mũi
Paranema	Sợi nấm vô tính
Paranota	Mầm cánh
Paranuchal	Bên gáy
Parapolar	Bên cực
Parashoot	Nhảy dù
Parasitic	Do ký sinh
Parasitism	Sự ký sinh
Parasitoid	Vật dạng ký sinh
Parasuit	Quần áo nhảy dù
Paratactic	Paratactic
Paratroops	Quân nhảy dù
Parboil	Đun sôi nửa chừng
Parbuckle	Dây kéo thùng
Parcelling	Sự chia thành phần
Parch	Rang
Parchment	Giấy da
Pardi	Liên từ
Pardie	Liên từ
Pardonable	Tha thứ được
Pardonably	Có thể hiểu được
Pardy	Liên từ
Parenchyma	Nhu mô
Parent	Mẹ
Parentage	Quan hệ cha mẹ
Parenthood	Hàng cha mẹ
Parfleche	Da trâu
Parge	Trát vữa
Parity	Tính chẵn lẻ
Park	Vườn hoa, công viên
Parkin	Bánh yến mạch
Parking	Sự đỗ xe
Parkish	Có dạng công viên
Parlance	Cách nói
Parlando	Nói năng gợi cảm
Parleyvoo	Người Pháp
Parliament	Nghị trường
Parlous	Hắc búa, khó chơi
Parodic	Parodical
Parody	Văn nhại, thơ nhại
Paroemia	Ngạn ngữ
Parol	Lời hứa danh dự
Parotidean	Tính từ
Parotitis	Bệnh quai bị
Parous	Có con cái
Paroxysmal	Cực điểm, kích phát
Parquetry	Sàn packê
Parr	Cá hồi con
Parrakeet	Vẹt đuôi dài
Parry	Miếng đỡ, miếng gạt
Parseeism	Bái hoả giáo
Parsonage	Nhà của mục sư
Parted	Tính từ
Parti pris	Định kiến
Partial	Thiên vị
Partially	Cục bộ, một phần
Partible	Tính từ
Particilar	Đặc biệt
Particle	Hạt
Particular	Cá biệt, riêng biệt
Partly	Từng phần, một phần
Partway	Phần nào
Party	Đảng
Party line	Đường lối của đảng
Party wall	Tường ngăn
Partyism	Óc bè đảng
Parvenu	Kẻ mới phất
Parvis	Sân trước nhà thờ
Pashalic	Địa hạt pasa
Pass	Vượt qua
Passable	Có thể qua lại được
Passageway	Đường phố nhỏ, ngõ
Passe	Lỗi thời
Passé	Quá thời, lỗi thời
Passivism	Thái độ tiêu cực
Passkey	Chìa khoá vạn năng
Passport	Hộ chiếu
Password	Khẩu lệnh
Pasta	Món mì
Pasteboard	Giấy bồi
Paster	Máy dán
Pastern	Cổ chân ngựa
Pasteurise	Làm tiệt trùng
Pasticcio	Pastiche
Pastil	Hương thỏi
Pastille	Hương thỏi
Pastime	Trò tiêu khiển
Pasting	Thất bại
Pastis	Rượu pha hạt anit
Pastor	Mục sư
Pastorate	Chức mục sư
Pastorship	Chức mục sư
Pastry	Bột nhồi, bột nhão
Pasturage	Đồng cỏ thả súc vật
Pasture	Đồng cỏ, bãi cỏ
Pasty	Chả nướng bọc bột
Patard	Bộc phá
Patch	Miếng vá
Patchily	Chắp vá, không đều
Patchiness	Sự không đều
Pate	Đầu óc
Paten	Đĩa
Patented	Tính từ
Paternal	Thuộc cha
Paternally	Thuộc cha, của cha
Paternity	Quan hệ cha con
Path	Quỹ đạo
Pathetics	Tính chất gợi cảm
Pathfinder	Người thám hiểm
Pathic	Thuộc bệnh
Pathless	Không có lối đi
Pathogen	Nguồn bệnh
Pathos	Tính chất cảm động
Patois	Thổ ngữ địa phương
Patriarch	Gia trưởng
Patriarchy	Chế độ gia trưởng
Patrician	Quý tộc
Patriciate	Quý tộc
Patrimony	Gia sản, di sản
Patriot	Người yêu nước
Patriotic	Yêu nước
Patriotism	Lòng yêu nước
Patrol	Việc tuần tra
Patron	Ông chủ, ông bầu
Patroness	Bà chủ, bà bầu
Patronise	Bảo trợ, đỡ đầu
Patronize	Bảo trợ, đỡ đầu
Patsy	Thằng khờ
Patten	Giày guốc
Pattern	Dạng
Patty	Chả bao bột nhỏ
Pattypan	Chảo nướng chả
Patulous	Toả rộng, xoè ra
Pauchiness	Tính chất bụng căng
Paul	Vấu tỳ
Paunchy	Có bụng phệ
Pauper	Người ăn xin
Pauperise	Bần cùng hoá
Pauperism	Tình trạng bần cùng
Pauperize	Bần cùng hoá
Pavage	Thuế lát đường phố
Pave	Lát
Pavilion	Lều vải, rạp
Paving	Mặt bằng được lát
Pavonine	Giống con công
Pawkily	Láu lỉnh, dí dỏm
Pawnbroker	Chủ hiệu cầm đồ
Pawnee	Người nhận vật cầm
Pawnshop	Hiệu cầm đồ
Pawpaw	Cây đu đủ
Payee	Người được trả tiền
Payer	Người trả tiền
Paymaster	Người phát lương
Payola	Tiền trích thưởng
Payroll	Bảng lương
Paysage	Phong cảnh
Pâté	Phong cảnh
Pea coal	Than hột
Pea green	Màu lục hạt đậu
Pea soup	Xúp đậu
Peaceable	Yêu hoà bình
Peaceful	Hoà bình, thái bình
Peacemaker	Người hoà giải
Peacetime	Thời bình
Peach	Quả đào
Peachick	Chim công non
Peachy	Mơn mởn đào tơ
Peaker	Bộ làm nhọn xung
Peaking	Sự làm nhọn xung
Peakish	Nhọn
Peanut	Cây lạc, củ lạc
Pear	Quả lê
Pearler	Người mò ngọc trai
Pearmain	Táo đỏ
Peasant	Nông dân
Peasantry	Giai cấp nông dân
Pease	Đậu
Peat	Than bùn
Peatbog	Bãi than bùn
Peatery	Bãi than bùn
Peatman	Người lấy than bùn
Peatmoss	Bãi than bùn
Peatreek	Khói than bùn
Peatry	Có than bùn
Pebble	Đá cuội, sỏi
Peccable	Dễ thiếu sót
Peccancy	Lỗi lầm, tội lỗi
Peculiar	Đặc biệt
Pedagogic	Sư phạm
Pedagogue	Nhà sư phạm
Pedagogy	Sư phạm
Pedal	Thuỷ túc
Pedantic	Thông thái rởm
Pedantry	Vẻ thông thái rởm
Peddle	Bán rong, báo rao
Peddler	Người bán rong
Pederasty	Thói đồng dâm nam
Pedestal	Bệ, đôn
Pedestrial	Thuộc chân
Pedestrian	Bằng chân, bộ
Pediatric	Paediatric
Pediatrist	Bác sĩ khoa trẻ em
Pedicab	Xe xích lô
Pedicular	Có nhiều chấy rận
Pediculous	Có nhiều chấy rận
Pedigree	Phả hệ
Pedigreed	Nòi, thuộc nòi tốt
Pedlar	Người bán rong
Pedlary	Nghề bán rong
Pedogamic	Ấu giao
Pedogamous	Ấu giao
Pedogamy	Tính ấu giao
Pedologist	Nhà thổ nhưỡng học
Pedometer	Cái đo bước
Peek	Hé nhìn, lé nhìn
Peen	Đầu mũi búa
Peening	Sự rèn bằng búa
Peerage	Các khanh tướng
Peeress	Vợ khanh tướng
Pegasus	Ngựa pêgat, thi mã
Pegleg	Cái chân giả
Peke	Chó Bắc kinh
Pekin	Lụa Bắc kinh
Pelada	Chứng trụi tóc
Pelagian	Ở biển khơi
Pelagic	Làm ngoài biển khơi
Pele	Tháp tường dày
Pelma	Bàn chân
Peloric	Sửa cấu trúc
Pelt	Tấm da con lông
Peltmonger	Người bán da sống
Pembroke	Bàn gấp
Pemmican	Ruốc
Pen friend	Bạn trao đổi thư từ
Penal code	Bộ luật hình sự
Penchant	Thiên hướng
Pencil	Chùm
Pencraft	Bút pháp
Pend	Treo
Pendent	Lủng lẳng
Pendently	Nhô ra
Pendulant	Đu đưa, lúc lắc
Pendular	Thuộc con lắc
Pendulate	Đu đưa lúc lắc
Peneapple	Quả dứa
Penelope	Người vợ chung thuỷ
Penetrant	Xuyên qua, thấm qua
Penetrate	Thấm vào
Penholder	Quản bút
Penicillin	Pênixilin
Peninsula	Bán đảo
Peninsular	Ở bán đảo
Penitence	Sự sám hối
Penitent	Sám hối
Penknife	Dao nhíp
Penlight	Penlite
Penman	Người viết
Pennate	Dạng lông chim
Penniform	Hình lông chim
Penny wise	Khôn việc nhỏ
Penology	Khoa hình phạt
Pension	Lương hưu
Pensive	Trầm ngâm, suy nghĩ
Penstock	Cửa cống
Penswan	Thiên nga mái
Pent	Bị giam chặt
Pentad	Hợp năm
Pentagonal	Có năm cạnh
Pentagram	Hình sao năm cánh
Pentameter	Thơ năm âm tiết
Pentaprism	Lăng kính năm mặt
Pentastyle	Nhà có năm cột
Penthouse	Lều một mái
Penumbrae	Vùng nửa tối
Penumbras	Vùng nửa tối
Penury	Cảnh cơ hàn
Penwiper	Giẻ lau bút
People	Dân tộc
Pep pill	Thuốc kích thích
Peplum	Váy ngắn
Pepo	Quả bầu nậm
Pepper	Hạt tiêu, hồ tiêu
Peppercorn	Hội viên
Peppering	Cay
Pepperwort	Rau tần, rau bợ
Peptone	Peptone
Peptonize	Peptone hoá
Per cent	Phần trăm
Percent	Phần trăm
Perception	Sự nhận thức
Perceptual	Giác quan
Percidae	Họ cá vược
Percolator	Máy chiết ngâm
Percussive	Để đánh gõ
Perdurable	Lâu đài
Peremptory	Cưỡng bách
Perfect	Đầy đủ
Perfectly	Hoàn toàn, hoàn hảo
Perfidious	Xảo trá
Perfidy	Sự xảo trá
Perforate	Đục lỗ
Perforator	Máy đục lỗ
Perforce	Tất yếu, cần thiết
Performer	Người biểu diễn
Perfume	Mùi thơm
Perfumer	Người làm nước hoa
Perfumery	Nước hoa
Perfumier	Người làm nước hoa
Perfuse	Vảy lên, rắc lên
Perfusion	Sự vảy, sự rắc
Pergola	Giàn dây leo
Perhaps	Có lẽ, có thể
Peri	Thần thiện
Perianal	Quanh hậu môn
Periapt	Bùa
Periblast	Lá phôi ngoài
Peridrome	Hành lang quanh nhà
Perigon	Góc 360 0 , góc đầy
Perigyny	Tính đính quanh bầu
Perilously	Nguy hiểm
Perimater	Chu vi
Perimeter	Chu vi
Period	Chu kỳ, thời kỳ
Periodism	Hiện tượng định kỳ
Periostea	Màng xương
Periosteum	Màng xương
Periotic	Quanh ống tai trong
Peripheric	Ngoại vi
Perique	Thuốc lá pêric
Periscope	Kính tiềm vọng
Perish	Bỏ mạng, bỏ mình
Perishable	Có thể chết
Periwig	Bộ tóc giả
Periwigged	Đội tóc giả
Perjure	Thề ẩu
Perjurer	Kẻ thề ẩu
Perjury	Lời thề ẩu
Perky	Xấc xược, ngạo mạn
Perlacous	Giống ngọc trai
Permalloy	Hợp kim pecmalci
Permeate	Thấm vào, thấm qua
Permissive	Chấp nhận
Permit	Giấy phép
Permutable	Hoán vị được
Permute	Hoán vị đổi thứ tự
Pernicious	Độ hại, nguy hiểm
Pernio	Cước
Peroneal	Thuộc xương mác
Peroretion	Đoạn kết
Peroxide	Peroxyt
Perpetrate	Phạm, gây ra
Perplexed	Lúng túng, bối rối
Perron	Bậc thềm
Perry	Rượu lê
Persimmon	Quả hồng vàng
Persism	Ba tư giáo
Persist	Tiếp tục
Persistent	Ổn định, vững
Person	Con người, người
Personal	Cá nhân, tư, riêng
Persuade	Thuyết phục
Pertain	Có quan hệ
Perturb	Nhiễu loạn
Perturbeb	Bị nhiễu loạn
Pertused	Xoi lỗ thủng
Peruke	Bộ tóc giả
Pervasion	Sự toả khắp
Pervasive	Toả khắp
Perversion	Sự xuyên tạc
Perversive	Xuyên tạc
Pervert	Người đồi truỵ
Perverted	Hư hỏng
Pesky	Quấy rầy, rầy rà
Pessimism	Chủ nghĩa bi quan
Pesthole	Ổ bệnh dịch
Pestilence	Bệnh dịch
Pestle	Cái chày
Pet name	Biệt danh
Petaliform	Dạng cánh hoa
Petalike	Giống cánh hoa
Petalles	Không cánh hoa
Petaloid	Hình cánh hoa
Petalous	Có cánh hoa
Petary	Đất than bùn
Petechial	Đốm xuất huyết
Petersham	Vải sọc
Petioled	Có cuống lá
Petiolule	Cuống nhỏ
Petitioner	Người kiến nghị
Petrescent	Bị hoá thành đá
Petrify	Biến thành đá
Petroglyph	Thuật khắc đá
Petrograph	Chữ khắc trên đá
Petroil	Xăng pha dầu nhớt
Petrol	Dầu xăng
Petroleum	Dầu mỏ
Petrolith	Đá dầu
Petrology	Lý luận thạch học
Petrophyte	Cây mọc trên đá
Petrous	Cứng như đá
Petticoat	Váy lót
Pettioes	Chân giò lợn
Pettish	Hay dằn dỗi
Pettitoes	Chân giò lợn
Petty cash	Tiền chi vặt
Pewter	Hợp kim thiếc
Pfennig	Đồng xu Đức
Pfenning	Đồng xu Đức
Pgup	Phím Page Up
Phagedeana	Phagedena
Phagedena	Phagedeana
Phagosome	Thể thực bào
Phantasm	Bóng ma, hồn hiện
Phantom	Ma, bóng ma
Pharisaic	Rất hình thức
Pharisaism	Tính hình thức
Pharmacy	Khoa bào chế
Pharos	Hải đăng
Pharyngal	Thuộc hầu
Phase	Pha
Phasemeter	Pha kế
Phasing	Sự định pha
Phasma	Bọ que
Phasmidae	Họ bọ que
Phelloid	Tầng không hoá bần
Phenology	Vật hậu học
Phenomena	Hiện tượng
Phenomenon	Hiện tượng
Phenotype	Kiểu hình
Phial	Ống đựng thuốc
Philander	Tán gái, tán tỉnh
Philobilic	Yêu sách
Philogyny	Sự yêu đàn bà
Philologer	Nhà ngữ văn
Philology	Môn ngữ văn
Philomath	Người yêu toán học
Philomathy	Sự yêu toán học
Philosophy	Triết học, triết lý
Philter	Bùa mê, ngải
Philtre	Bùa mê, ngải
Philtrum	Nhân trung
Phlebotomy	Sự mở tĩnh mạch
Phloeodic	Dạng bần
Phloeum	Libe
Phloic	Thuộc libe
Phoanatory	Phát âm
Phonate	Phát âm
Phonation	Sự phát âm
Phonatory	Thuộc phát âm
Phone book	Danh bạ điện thoại
Phonetics	Ngữ âm học
Phonetist	Nhà ngữ âm học
Phonics	Âm học
Phono plug	Chốt cắm phono
Phonogram	Ảnh ghi âm
Phonoscope	Máy thử đàn dây
Phosphene	Đom đóm mắt
Photism	Ảo giác ánh sáng
Photocopy	Bản sao chụp
Photogram	Biểu đồ ảnh
Photograph	Ảnh, bức ảnh
Photolysis	Sự quang phân
Photometer	Cái đo sáng
Photometry	Phép đo sáng
Photophase	Giai đoạn sáng
Photostage	Giai đoạn sáng
Photostat	Máy sao chụp
Phototube	Pin quang điện
Phrase	Nhóm từ
Phrenology	Khoa tướng số
Phthisis	Bệnh lao phổi
Phylactic	Miễn dịch
Phylaxis	Sự miễn dịch
Phyllode	Cuống dạng lá
Physic	Nghề y
Physically	Theo luật tự nhiên
Physician	Thầy thuốc
Physicist	Nhà vật lý học
Physicky	Cỏ vẻ như thuốc
Physics	Vật lý học
Physiology	Sinh lý học
Phytogeny	Lịch sử thực vật
Phytozoa	Động vật hình cây
Phytozoon	Động vật hình cây
Piacular	Để chuộc tội
Pianissimo	Rất nhẹ
Picador	Người đấu bò
Picamar	Dầu hắc, hắc ín
Piccalilli	Dưa góp cay
Pick	Đâm thủng
Pickax	Cuốc chim
Pickaxe	Cuốc chim
Picker	Người hái
Pickings	Đồ thừa, vụn thừa
Picklock	Thợ mở ổ khoá
Pickpocket	Kẻ móc túi
Pictorial	Trực quan
Picul	Tạ Trung quốc
Piddling	Nhỏ
Pie chart	Biểu đồ tròn
Piebald	Vá, khoang
Piece	Mẩu, phần
Piecemeal	Từng phần, từng cái
Piecewise	Từng mẩu
Piecework	Việc khoán
Pier	Cầu tàu
Piercing	Nhọc sắc
Pierrette	Vai hề kịch câm
Pierrot	Vai hề kịch câm
Piety	Lòng mộ đạo
Piezometer	Cái đo áp suất
Piffling	Nhảm nhí, tào lao
Pigeon	Chim bồ câu
Pigeonry	Chuồng bồ câu
Piggery	Trại nuôi lợn
Piggishly	Giống như lợn
Piggy	Con lợn con
Piglet	Lợn con
Pigling	Lợn con
Pigmy	Người lùn tịt
Pigpen	Chuồng lợn
Pigskin	Da lợn
Pigsty	Chuồng lợn
Pigswill	Rau lợn
Pigtail	Đuôi sam, bím tóc
Pikestaff	Cán giáo, cán mác
Pilaf	Cơm thập cẩm
Pilaff	Cơm gà, cơm thịt
Pilau	Cơm gà, cơm thịt
Pilaw	Cơm gà, cơm thịt
Pile	Lò phản ứng
Pilfer	Ăn cắp vặt
Pilferage	Trò ăn cắp vặt
Pilferer	Kẻ ăn cắp vặt
Pilgrim	Người hành hương
Pilgrimage	Cuộc hành hương
Pill	Viên thuốc
Pillar	Cột, trụ
