A b c	Bảng chữ cái
Grew	Mọc mầm, đâm chồi nẩy nở
Grewsome	Xem gruesome
Greybeard	Ông già, ông lão
Greyhound	Chó săn thỏ
Greyish	Hơi xám, xam xám
Grey-blue	Lam xám
Grey-hen	Gà gô mái
Greyness	Màu xám
Grid	Mạng lưới
Gridded	Xem grid
Gride	Tiếng ken két, tiếng kèn kẹt
Griefless	Không phiền muộn
Grievance	Lời than phiền
Grieve	Gây đau buồn, làm đau lòng
Griever	Xem grieve
Grievingly	Xem grieve
Grievous	Đau, đau khổ
Grievously	Nghiêm trọng, trầm trọng
Griff	Người Âu mới đến ở Ân-ddộ
Grig	Lươn con
Grille	Lưới sắt, phên sắt
Grilled	Có lưới sắt
Griller	Xem grill
Grill-room	Quán chả nướng
Grimace	Vẻ nhăn nhó
Grimacer	Người hay nhăn nhó
Grimacier	Người hay nhăn nhó
Grimalkin	Mèo cái già
Grime	Cáu ghét
Grimily	Xem grimy
Grimy	Cáu ghét
Grin	Cái nhăn mặt nhe cả răng ra
Grind	Sự xay, sự tán, sự nghiền
Grindery	Đồ nghề thợ giày
Grindingly	Xem grind
Grindstone	Bánh mài
Grinner	Xem grin
Grinningly	Xem grin
Grip	Rãnh nhỏ, mương nhỏ
Griper	Xem gripe
Grip-brake	Phanh tay
Grippe	Nắm chặt, cầm chặt, kẹp chặt
Gripper	Xem grip
Gripping	Hấp dẫn, thú vị
Grippingly	Thú vị, hấp dẫn
Gripsack	Túi du lịch
Griqua	Người da trắng lai Nam Phi
Griseous	Xám
Griskin	Thịt thăn lợn
Grisliness	Xem grisly
Grisly	Ghê tởm, ghê sợ, rùng rợn
Gris-gris	Gris-gris
Grist	Lúa đưa xay
Gristle	Xương sụn
Grist-mill	Cối xay bột
Grittily	Xem gritty
Grittiness	Tình trạng có sạn
Gritty	Có sạn
Groan	Tiếng rên rỉ
Groaner	Xem groan
Groaning	Rên rỉ
Groaningly	Xem groan
Grobian	Chàng ngốc
Groceries	Hàng tạp phẩm
Grocery	Việc buôn bán tạp phẩm
Groceteria	Hiệu ăn tự mình phục vụ
Groggery	Quán bán grôc
Groggily	Chếnh choáng, lảo đảo
Grogginess	Tình trạng say lảo đảo
Groggy	Say lảo đảo
Grog-shop	Quán bán grôc
Groin	Háng
Groined	Thành vòm nhọn
Groom	Người giữ ngựa
Groomer	Xem groom
Groomsman	Phù rể
Grooved	Có dạng khe
Groover	Cái bào rãnh
Grooviness	Xem groovy
Gropingly	Dò dẫm, mò mẫm
Gros	Toàn bộ, grôt
Grosgrain	Băng lụa sọc
Grosser	Xem gross
Grotesque	Lố bịch, kỳ cục
Grottiness	Xem grotty
Grotto	Hang động
Grottoes	Hang động
Grotty	Khó chịu, cáu gắt
Grouchily	Xem grouchy
Grouchy	Bẳn tính, cáu kỉnh
Ground	Đất |
Groundedly	Có cơ sở vững chắc
Ground-gru	Cũng ground-ice
Ground-ice	Băng đáy
Ground-nut	Lạc
Groundsel	Cây cúc bạc
Groundwork	Nền
Group	Nhóm // nhóm lại
Grouped	Đã nhóm lại |
Grouping	Sự nhóm lại
Groupment	Nhóm, tổ, đội
Group-like	Tựa nhóm, giống nhóm |
Groupware	Phần mềm nhóm
Grouse	Gà gô trắng
Grouter	Xem grout
Grove	Lùm cây, khu rừng nhỏ
Grovel	Đầm
Groveler	Xem grovel
Grow	Tăng, phát triển |
Grower	Người trồng
Growing	Sự lớn lên
Growingly	Xem grow
Growl	Tiếng gầm, tiếng gầm gừ
Growler	Người hay càu nhàu
Growly	Xem growl
Grown	Lớn, trưởng thành
Grown-up	Đã lớn, đã trưởng thành
Groyne	Đê biển
Groyned	Có đê biển
Grub	Ấu trùng, con giòi
Grubber	Người xới, người bới
Grubbily	Xem grubby
Grubbiness	Tình trạng dơ dáy
Grubby	Dơ dáy
Grudge	Mối ác cảm, mối hận thù
Grudger	Xem grudge
Grudging	Ghen tức, hằn học
Grudgingly	Bất đắc dự, miễn cưỡng
Gruel	Cháo suông
Gruesome	Ghê gớm, khủng khiếp
Gruesomely	Khủng khiếp, kinh khủng
Gruffly	Thô lỗ, cộc cằn
Gruffness	Tính cộc cằn, tính thô lỗ
Grumble	Tiếng càu nhàu
Grumbly	Hay càu nhàu
Grume	Chất dính nhớt, chất lầy nhầy
Grumous	Dính nhớt, lầy nhầy
Grump	Người hay cau có
Grumpily	Gắt gỏng, cục cằn
Grumpiness	Tính cục cằn
Grumpish	Cục cằn
Grumpy	Cục cằn
Grundyism	Chủ nghĩa thủ cựu
Grunt	Tiếng kêu ủn ỉn
Grunter	Con lợn
Gruntling	Lợn con
Gruyère	Phó mát gruye
Guano	Bón bằng phân chim
Guarantee	Bảo đảm
Guaranty	Sự bảo đảm, sự bảo lãnh
Guarapo	Guarapos
Guardedly	Thận trọng, ý tứ
Guarder	Xem guard
Guardian	Người bảo vệ
Guardless	Không dược bảo vệ
Guard-duty	Chức vụ bảo vệ
Guard-ship	Tàu bảo vệ cảng
Guards	Đội bảo vệ
Guardsman	Vệ binh
Guardsmen	Vệ binh
Guddle	Mò cá
Guerilla	Du kích, quân du kích
Guerrilla	Du kích, quân du kích
Guess	Giả định
Guesser	Xem guess
Guess-work	Sự phỏng đoán, sự đoán chừng
Guest	Khách
Guest-room	Phòng dành cho khách
Guestship	Địa vị người khách
Guestwise	Như người khách
Guggle	Xem gurgle
Guichet	Lưới sắt, chấn song sắt
Guidable	Có thể dìu dắt
Guide-book	Sách hướng dẫn
Guide-post	Cột chỉ đường
Guider	Xem guide
Guideway	Đường dẫn
Guiding	Hoạt động của người hướng dẫn
Guidon	Cờ kỵ binh
Guidwillie	Thân mật
Guild	Phường hội
Guild-hall	Toà thị chính
Guildsman	Người thuộc phường hội
Guile	Mưu mẹo, thủ đoạn, xảo trá
Guileful	Lắm mưu mẹo, lừa gạt, xảo trá
Guilefully	Mưu mẹo, xảo trá
Guileless	Chân thật, ngây thơ
Guilery	Sự dối trá
Guillotine	Máy chém
Guilotine	Máy chém
Guilt	Điều sai quấy, tội lỗi
Guiltily	Với vẻ có lỗi
Guiltiness	Sự có tội, sự phạm tội
Guiltless	Không phạm tội
Guilty	Có tội, phạm tội, tội lỗi
Guimpe	Áo khoác mặc dưới tạp dề
Guinea-hen	Gà mái Nhật
Guinness	Bia đắng có màu sẫm
Guise	Chiêu bài, lốt, vỏ
Gular	Thuộc cổ họng
Gulf	Vịnh
Gulfy	Có xoáy nước
Guller	Kẻ lừa bịp
Gullery	Sự lừa bịp
Gullet	Thực quản
Gullible	Khờ dại, cả tin
Gullibly	Khờ dại, cả tin
Gully	Con dao to
Gully-hole	Lỗ cống thoát nước
Gulosity	Sự tham ăn quá mức
Gulper	Xem gulp
Gulpingly	Xem gulp
Gum arabic	Gôm arabic
Gumboot	Ủng cao su lên đến đầu gối
Gum-boots	Ủng cao su, giày ống cao su
Gum-tree	Cây bạch đàn
Gum-wood	Cây cho nhựa
Gummer	Người phết hồ
Gumminess	Xem gummy
Gumming	Sự phết keo
Gummy	Có nhựa dính
Gumption	Tinh thần dám nghĩ dám làm
Gun crew	Nhóm pháo thủ
Gun dog	Chó săn
Gunboat	Tàu chiến, pháo hạm
Gunfight	Cuộc đấu súng
Gunfighter	Người đấu súng
Gunge	Chất bẩn sệt
Gung-ho	Sốt sắng, hăng hái
Gungy	Bẩn thỉu
Gunite	Bê tông phun
Gun-bank	Ụ pháo
Gun-barrel	Nòng súng
Gun-fire	Loạt súng đại bác
Gun-fodder	Mồi súng
Gun-lock	Khoá nòng
Gun-metal	Hợp kim để đúc súng
Gun-paper	Giấy nhồi đạn
Gun-pit	Ụ pháo, hầm pháo
Gun-plane	Tàu bay mang súng
Gun-reach	Tầm súng
Gun-runner	Người buôn lậu súng
Gun-stock	Báng súng
Gunman	Găngxtơ
Gunned	Có trang bị súng, có vũ trang
Gunnery	Thuật bắn đại bác
Gunning	Sự đi săn
Gunny	Bị đay, bị cói
Gunnysack	Bị đay
Gunplay	Sự bắn súng để đe doạ
Gunpoint	Chựa súng
Gunpowder	Thuốc súng
Gunshot	Phát súng
Gunsmith	Người làm súng
Gunstick	Que thông nòng súng
Gurglingly	Xem gurgle
Gush	Sự phun ra, sự vọt ra
Gusher	Giếng dầu phun
Gushily	Xem gushy
Gushiness	Xem gushy
Gushing	Phun ra, vọt ra
Gushingly	Vồn vã, vồ vập
Gushy	Vồn vã
Gust	Cơn gió mạnh
Gustable	Ngon lành
Gustation	Vị giác
Gustily	Xem gusty
Gustiness	Xem gusty
Gusto	Sự thưởng thức, sự hưởng
Gusty	Gió bão, dông tố
Gutsily	Xem gutsy
Gutsiness	Xem gutsy
Gutsy	Gan góc, dũng cảm
Guttering	Hệ thống thoát nước
Gutter-man	Người bán rong hàng vặt
Gutterway	Máng tiêu
Guttiform	Dạng giọt
Guttle	Ăn uống tham lam
Guttler	Kẻ tham lam
Guttula	Giọt nhỏ
Guttulate	Dạng giọt nhỏ
Guttulose	Xem guttulate
Gutturally	Xem guttural
Gutty	Xem gut
Guve	Cho
Guv'nor	Chú
Guzzle	Ăn uống tục, ăn uống tham lam
Guzzler	Kẻ tham ăn tham uống
Gyle	Thùng ủ bia
Gymkhana	Câu lạc bộ thể dục, thể thao
Gymnast	Chuyên viên thể dục
Gymnastics	Sự rèn luyện thân thể
Gymnocyte	Tế bào trần
Gymnoplast	Chất nguyên sinh trần
Gymnospore	Bào tử trần
Gynaecium	Bộ nhụy
Gynaecoid	Kiến thợ đẻ trứng
Gypper	Xem gyp
Gyppo	Người Ai-cập
Gypseous	Giống thạch cao
Gypsophil	Ưa thạch cao
Gypsophily	Tính ưa thạch cao
Gyral	Xoắn ốc
Gyration	Sự quay tròn
Gyratory	Hồi chuyển, xoay tròn
Gyrfalcon	Chim ưng phía bắc
Gyro	Con quay
Gyropilot	Bộ lái hồi chuyển
Gyroscope	Con quay
Gyroscopic	Hồi chuyển
Gyrostat	Xem gyrostabilizer
Gyrostatic	Ổn định bằng hồi chuyển
Gyrotiller	Máy phay đất
Gyrotropic	Hướng hồi chuyển
Gyrus	Nếp cuộn não
Ha ha	Ha ha!
Haaf	Khu vực đánh cá ở biển sâu
Haangi	Số nhiều haangis
Habit	Thói quen, tập quán
Habitable	Có thể ở được
Habitant	Người ở, người cư trú
Habitation	Sự ở, sự cư trú
Habitually	Đều đặn, thường xuyên
Habitude	Thói quen, tập quán
Habitus	Thể trạng
Hacienda	Ấp, trại, đồn điền
Hackbuteer	Hackbutter
Hackle	Bàn chải sợi lanh
Hackly	Đốn đẽo, chặt mạnh
Hack-work	Công việc viết văn thuê
Hacksaw	Cái cưa kim loại
Hades	Âm ty, âm phủ
Hadn't	Hadn't
Hadronic	Thuộc hađron
Haem	Cũng heme
Haemic	Thuộc máu
Haemolysin	Chất tiêu máu
Haeremai	Interj
Hafd	Rắn, cứng, xác định, chặt chẽ
Haffet	Cũng haffit
Ha'penny	Xem halfpenni
Ha'p'orth	Vật đáng giá nửa xu
Hagemonic	Bá chủ, lânh đạo
Haggish	Như mụ phù thuỷ
Haggle	Sự mặc cả
Hagiolater	Người thờ thánh
Hagiolatry	Sự thờ thánh
Hagiology	Truyện về các vị thánh
Hagridden	Bị ác mộng ám ảnh
Hahnium	Nguyên tố phóng xạ nhân tạo
Haidresser	Thợ làm đầu cho phụ nữ
Hail	Mưa đá
Hailstone	Cục mưa đá
Hailstorm	Cơn dông mưa đá
Hairbrush	Bàn chải tóc
Hairclip	Xem hairgrip
Haircloth	Vải tóc
Haircutter	Người cắt tóc
Hairiness	Sự rậm tóc, sự rậm lông
Hairless	Không có lông
Hair-cut	Sự cắt tóc
Hair-do	Kiểu tóc
Hair-dryer	Máy sấy tóc
Hair-dye	Thuốc nhuộm tóc
Hair-grip	Cái kẹp tóc
Hair-line	Dây thừng làm bằng tóc
Hair-net	Mạng tóc, lưới bao tóc
Hair-oil	Dầu xức tóc
Hair-style	Kiểu tóc
Hairpin	Cái cặp tóc
Hairstreak	Loại bướm nhỏ
Hairworm	Loại giun tròn
Hairy	Rậm tóc, rậm lông
Haitian	Người dân, người sống ở Haiti
Haji	Cũng hadj
Half hose	Bít tất ngắn
Half moon	Trăng bán nguyệt
Half-baked	Nướng chưa chín hẳn
Half-boot	Giày ống ngắn
Half-bred	Lai
Half-breed	Người lai
Half-butt	Gậy chơi bia-a
Half-caste	Lai
Half-cock	Cò súng đã chốt
Half-crown	Đồng nửa curon
Half-cyele	Nửa chu kỳ
Half-day	Nửa ngày
Half-done	Làm được một nửa, làm dở
Half-dozen	Nửa tá
Half-light	Ánh sáng chập chờn
Half-mile	Nửa dặm
Half-open	Như ajar
Half-pay	Nửa lương
Half-pint	Một nửa
Half-plane	Giá trị. nửa mặt phẳng
Half-pound	Nửa pao
Half-price	Nửa giá tiền
Half-round	Nửa vòng tròn bán nguyệt
Half-size	Bằng nửa kích cỡ bình thường
Half-space	Nửa không gian
Half-title	Đề sách ở bìa phụ
Half-truth	Bản tường thuật nửa sự thật
Half-way	Nửa đường
Half-year	Sáu tháng, nửa năm
Halftone	Ảnh bán sắc
Halfway	Nửa chừng
Halieutics	Thuật đánh cá
Haligonian	Người dân xứ Halifax ở Canada
Haliotis	Bào ngư
Halite	Muỗi mổ
Halitosis	Chứng thối mồm
Halleluiah	Bài hát ca ngợi Chúa
Hallelujah	Bài hát ca ngợi Chúa
Hallo	Chào anh!, chào chị!
Halloa	Chào anh!, chào chị!
Hallowed	Thiêng liêng
Halloween	Đêm trước ngày lễ các Thánh
Hallowmas	Ngày lễ các Thánh
Hallstatt	Giai đoạn Hanxtat
Halma	Cò nhảy
Halobiont	Cây ưa mặn
Halometer	Cái đo muối
Halometry	Phép đo muối
Halophile	Thực vật ưa mặn
Halophilic	Halophilic
Halophytic	Thuộc cây ưa mặn
Halothane	Một loại thuốc gây mê
Halter	Dây thòng lọng
Halvah	Cũng halva
Hamate	Hình móc câu
Hamburgh	Nho đen hambua
Hamlet	Xóm, thôn
Hammer	Búa
Hammerer	Người quai búa, người đập búa
Hammering	Tiếng quai búa, tiếng búa nện
Hammerless	Có cò súng
Hammer-toe	Ngón chân khoằm
Hammerman	Người quai búa, người đập búa
Hammertoe	Ngón chân khoằm xuống
Hammock	Cái võng
Hamulus	Phần cong
Handbook	Sách chỉ nam
Handclap	Sự vỗ tay, tiếng vỗ tay
Handcraft	Nghề thủ công
Handcuff	Khoá tay, xích tay
Handedness	Khuynh hướng chỉ dùng một tay
Handgrip	Sự nắm chặt tay, sự ghì chặt
Handgun	Súng ngắn
Handily	Thuận tiện, tiện lợi
Handiness	Sự thuận tiện, sự tiện tay
Handiwork	Việc làm bằng tay
Handle	Sử dụng quay lại
Hand-gun	Súng ngắn
Hand-held	Cầm tay
Hand-loom	Khung cửi
Handmaiden	Người hầu gái
Handpress	Máy in bằng tay
Handsaw	Cưa tay
Handset	Máy thu phát cầm tay
Handshake	Cái bắt tay
Hands-on	Thực hành
Handsome	Đẹp
Handsomely	Hào phóng, hậu hự
Handspring	Sự nhào lộn tung người
Handwork	Việc làm bằng tay, thủ công
Handwoven	Adj
Hang	Sự cúi xuống, sự gục xuống
Hangi	Cái lò
Hanging	Sự treo
Hang-up	Sự khó chịu, sự bứt rứt
Hanker	Ao ước, khao khát, thèm muốn
Hap'orth	Cũng ha'porth,  ha'p'orth
Hapless	Rủi ro, không may
Haplobiont	Sinh vật đơn bội
Haploid	Đơn bội
Happen	Xảy ra
Happening	Biến cố
Happily	Sung sướng, hạnh phúc
Happiness	Sự sung sướng, hạnh phúc
Haptic	Haptical
Haras	Trại ngựa giống
Harass	Quấy rầy, phiền nhiễu
Harassment	Sự lo lắng ưu phiền
Harbour	Bến tàu, cảng
Harbourage	Chỗ ẩn náu, chỗ trú
Hard	Cứng, rắn
Hard board	Phiến gỗ ép
Hard cash	Tiền mặt
Hard coal	Antraxit
Hard cover	Bìa cứng của quyển sách
Hard drug	Chất ma túy cực mạnh
Hardback	Sách đóng bìa cứng
Hardbake	Kẹo hạnh nhân
Hardboard	Phiến gỗ ép
Harden	Làm cho cứng, làm cho rắn
Hardening	Một cái gì rắn lại
Hardhead	Người ngu ngốc
Hardheaded	Không thương xót
Hardheads	Cây xa cúc
Hardihood	Sự gan dạ, sự dũng cảm
Hardily	Gan dạ, dũng cảm
Hardiness	Sức mạnh
Hard-nosed	Dứt khoát, không khoan nhượng
Hard-set	Chặt chẽ, cứng rắn
Hard-top	Xe ô tô có mui bằng kim loại
Hardshell	Có vỏ cứng
Hardware	Đồ ngũ kim
Hardwood	Gỗ cứng
Harelipped	Có tật sứt môi trên
Harem	Hậu cung
Hark	Nghe
Harl	Đi kéo lê
Harle	Đi kéo lê
Harlot	Đĩ, gái điếm
Harlotry	Nghề làm đĩ
Harmful	Gây tai hại, có hại
Harmfully	Tai hại, tác hại
Harmless	Không độc
Harmlessly	Vô hại
Harmonic	Điều hoà // hàm điều hoà
Harmonica	Kèn acmônica
Harmonics	Hoà âm học
Harmonious	Hài hoà, cân đối
Harmonist	Người giỏi hoà âm
Harmony	Sự hài hoà, sự cân đối
Harper	Người chơi đàn hạc
Harpery	Người chơi đàn hạc
Harpist	Người chơi đàn hạc
Harpooner	Người phóng lao móc
Harridan	Bà già độc ác cay nghiệt
Harrier	Chó săn thỏ
Harrow	Cái bừa
Harrowing	Đau lòng
Harsh	Thô, ráp, xù xì
Harshly	Cay nghiệt, khắc nghiệt
Harshness	Tính thô ráp, tính xù xì
Hartshorn	Sừng hươu
Harversack	Túi dết
Harvest	Mùa gặt, vụ thu hoạch
Harvester	Người gặt
Harvestman	Người gặt
Hash	Món thịt băm
Hasher	Dao băm thịt
Hasp	Yếm khoá
Hassle	Điều rắc rối phức tạp
Hastily	Vội vàng, hấp tấp
Hastiness	Sự nhanh chóng, sự gấp rút
Hasty	Nhanh chóng, gấp rút, mau
Hat tree	Giá treo mũ
Hatable	Đáng căm thù, đáng căm ghét
Hatband	Băng mũ, băng tang đen ở mũ
Hatcher	Gà ấp
Hatchet	Cái rìu nhỏ
Hatching	Đường gạch bóng trên hình vẽ
Hatchling	Con chim vừa mới nở
Hate	Sự căm hờn, sự căm ghét
Hateful	Đầy căm thù, đầy căm hờn
Hatefully	Đáng căm hờn, đáng ghét
Hater	Người căm thù, người căm ghét
Hatless	Không đội mũ
Hat-pin	Ghim dài để cài mũ vào tóc
Hatter	Người làm mũ
Haughtily	Kiêu căng, ngạo mạn
Haughty	Kiêu kỳ, kiêu căng, ngạo mạn
Haul	Đoạn đường kéo
Haulage	Sự kéo
Haulier	Người kéo
Haunch	Vùng hông
Haunted	Thường được năng lui tới
Havana	Xì gà havan
Have	Có
Haven	Bến tàu, cảng
Haversack	Túi dết
Havings	Của cải, tài sản
Havoc	Sự tàn phá
Hawbuck	Người quê mùa, cục mịch
Hawker	Người đi săn bằng chim ưng
Hawkisk	Như chim ưng như diều hâu
Hawk-like	Như chim ưng như diều hâu
Hawkmoth	Loại nhậy lớn
Haxateuch	Sáu cuốn đầu của Kinh Cựu ứơc
Hay time	Vụ cắt cỏ, vụ cỏ
Haycock	Đồng cỏ khô
Haylage	Thức ăn dự trữ cho gia súc
Hayloft	Vựa cỏ khô
Hay-fork	Cái chĩa để xóc dỡ cỏ khô
Hay-rack	Toa chở cỏ khô
Haymaker	Máy dỡ cỏ phơi khô
Haymaking	Sự dỡ cỏ phơi khô
Hayrick	Đống cỏ khô
Hayseed	Hạt cỏ
Haystack	Đống cỏ khô
Hazardous	Nguy hiểm
Haze	Mù, sương mù, khói mù, bụi mù
Hazel-nut	Quả phỉ
Hazily	Lờ mờ, mơ hồ
Haziness	Sự mù mịt
Hazy	Mù mịt
Head	Cột trước
Head wind	Gió ngược
Headache	Chứng nhức đầu
Headachy	Bị nhức đầu
Headband	Dải buộc đầu, băng buộc đầu
Headboard	Tấm ván đầu giường
Header	Người đóng đáy thùng
Heading	Tiêu đề
Headlamp	Đèn pha
Headless	Không có đầu
Headline	Đề mục, đầu đề, tiêu đề
Headliner	Ngôi sao biểu diễn
Headlock	Miếng võ khoá đầu
Headlong	Đâm đầu xuống, đâm đầu vào
Head-money	Thuế thân
Head-nurse	Trưởng y tá
Head-work	Công việc trí óc
Headman	Tù trưởng, tộc trưởng
Headmaster	Ông hiệu trưởng
Headmost	Trước tiên, trước nhất
Headnote	Lời giải thích ở đầu trang
Headphones	Ống nghe điện đài
Headpiece	Mũ sắt
Headscarf	Khăn trùm đầu
Headship	Trách nhiệm thủ trưởng
Headsman	Đao phủ
Headstone	Bia, mộ chí
Headstream	Đầu nguồn sông
Headway	Sự tiến bộ, sự tiến triển
Headwind	Gió ngược
Headwork	Công việc trí óc
Heald	Xem heddle
Healer	Người chữa bệnh
Heal-all	Thuốc bách bệnh
Health	Sức khoẻ
Healthful	Lành mạnh
Healthily	Mạnh khoẻ, lành mạnh
Healthy	Khoẻ mạnh
Heap	Đống
Hear	Nghe
Heard	Nghe
Hearer	Người nghe, thính giả
Hearing	Tính giác, độ nghe rõ
Hearsay	Tin đồn, lời đồn
Hearse	Xe tang
Heartache	Nỗi đau buồn, mối đau khổ
Heartbeat	Nhịp đập của tim
Heartening	Cổ vũ, khích lệ, phấn khích
Heartfelt	Chân thành, thành tâm
Hearth	Nền lò sưởi, lòng lò sưởi
Hearth-rug	Thảm trải trước lò sưởi
Hearthrob	Nhịp đập của tim
Heartily	Vui vẻ, thân mật, nồng nhiệt
Heartland	Khu trung tâm
Heartless	Vô tình, không có tình
Heartsick	Chán nản, thất vọng
Heartsore	Đau lòng, đau buồn
Hearty	Vui vẻ, thân mật, nồng nhiệt
Heated	Được đốt nóng, được đun nóng
Heatedly	Giận dữ, nóng nảy
Heater	Cái nung, dây nung, lò nung
Heath	Bãi hoang, bãi thạch nam
Heathendom	Tà giáo
Heathenise	Làm thành ngoại đạo
Heathenish	Ngoại đạo
Heathenism	Tà giáo
Heathenize	Làm thành ngoại đạo
Heathery	Phủ đầy cây thạch nam
Heathland	Vùng có cây thạch nam
Heathy	Có nhiều bãi thạch nam
Heating	Sự làm nóng
Heatproof	Chịu nóng, chịu nhiệt
Heave	Lên xuống, nhấp nhô
Heavenly	Ở trên trời, ở thiên đường
Heaviness	Sự nặng, sự nặng nề
Heavy	Nặng, khó, mạmh
Heavy-set	To chắc nịch
Hebdomad	Tuần lễ
Hebdomadad	Hàng tuần, mỗi tuần một lần
Hebdomadal	Hàng tuần, mỗi tuần một lần
Hebraism	Đặc tính của người Hê-brơ
Hebraistic	Xem hebraic
Hebraize	Hê-brơ hoá
Hebrew	Người Hê-brơ, người Do thái
Hecarte	Nữ thần mặt trăng
Hectare	Hecta
Hectic	Cuồng nhiệt, sôi nổi, say sưa
Hectically	Sôi nổi, cuồng nhiệt
Hectogram	Hectogam
Hectoliter	Hectolit
Hectolitre	Hectolit
Hectometer	Hectomet
Hectometre	Hectomet
Hector	Kẻ bắt nạt, kẻ ăn hiếp
Hedonic	Hưởng lạc
Hedonism	Chủ nghĩa khoái lạc
Heedful	Chú ý, lưu ý, để ý
Heedlessly	Lơ là, lơ đễnh
Heel	Gót chân
Heeled	Có gót
Heeler	Thợ đóng gót giày
Hee-haw	Tiếng lừa kêu
Heft	Trọng lượng, sức nặng
Hefty	Lực lưỡng, vạm vỡ, khoẻ mạnh
Hegemonic	Bá chủ, lãnh đạo
Hegemony	Quyền bá chủ, quyền lânh đạo
Heifer	Bò cái tơ, bê cái
Heigh	Ê này!
Height	Góc nâng
Heinously	Tàn ác, bạo ngược
Heir	Người thừa kế, người thừa tự
Heirdom	Sự thừa kế
Heiroglyph	Chữ viết tượng hình
Heirolatry	Sự thờ thần thánh
Heirship	Quyền thừa kế
Heist	Sự trộm cắp
Helices	Đường xoắn ốc, đường đinh ốc
Helicopter	Máy bay lên thẳng
Heliolatry	Sự thờ mặt trời
Heliometer	Cái đo mặt trời
Heliophyte	Cây ưa nắng
Helioscope	Kính soi mặt trời
Heliostat	Kính định nhật
Heliozoic	Xem heliozoan
Helipad	Xem heliport
Helistop	Xem heliport
Hell	Nơi tối tăm khổ cực
Hellene	Người Hy-lạp
Hellenism	Văn hoá cổ Hy-lạp
Hellenist	Nhà nghiên cứu cổ Hy-lạp
Heller	Người ồn ào
Hellhole	Đáy của địa ngục
Hellhound	Người tàn ác, hung dữ
Hellinize	Hy lạp hoá
Hellion	Người hay quấy rầy
Hellish	Như ma quỷ
Hellishly	Tồi tệ
Hell-cat	Mụ phù thuỷ già
Hell-hound	Chó ngao
Hello	Chào anh!, chào chị!
Helluva	Nơi tối tăm khổ cực
Helmeted	Có đội mũ bảo hộ
Helminth	Giun sán
Helmsman	Người lái tàu thuỷ
Helotry	Xem helot
Helper	Người giúp đỡ
Helpful	Có ích
Helpfully	Hữu ích, ích lợi
Helping	Sự giúp đỡ
Helplessly	Bất lực
Hematology	Khoa học về máu, huyết học
Hemicycle	Cấu trúc cánh cung
Hemipteran	Sâu bọ cánh nửa
Hemipteron	Xem hemipteran
Hemisphere	Bán cầu, nửa bán cầu
Hemistic	Nửa câu thơ
Hemistich	Nửa câu thơ
Hem-line	Mép, gấu
Hem-stitch	Mũi khâu giua
Hemoglobin	Hemoglobin
Hempen	Làm bằng sợi gai dầu
Hemstitch	Trang trí bằng giua
Hence	Do đó, từ dó, như vậy
Hence!	Thành ngữ hence
Henceforth	Từ nay trở đi, từ nay về sau
Hendecagon	Hình mười một góc
Henfish	Loại cá biển
Hen-coop	Lông gà
Hen-house	Chuồng gà
Hen-run	Sân nuôi gà vịt
Hennery	Sân nuôi gà vịt
Henny	Như gà mái, giống gà mái
Henpecked	Sợ vợ, bị vợ xỏ mũi
Hent	Giữ
Hepatise	Gan hoá
Hepatize	Gan hoá
Hepatocyte	Tế bào gan
Hepatona	Khối u ung thư của gan
Hepcat	Tay nghiện nhạc ja
Heptachord	Chuỗi bảy âm
Heptad	Bộ bảy, nhóm bảy
Heptagon	Hình bảy góc
Heptarchy	Sự thống trị, bộ bảy
Herald	Viên quan phụ trách huy hiệu
Heraldry	Khoa nghiên cứu huy hiệu
Herb	Cỏ, cây thảo
Herbaceous	Dạng cỏ, dạng cây thảo
Herbaria	Tập mẫu cây
Herbarium	Tập mẫu cây
Herbicide	Thuốc diệt cỏ
Herbivore	Động vật ăn cỏ
Herborist	Người sưu tập cây cỏ
Herborize	Sưu tập cây cỏ
Herby	Có cỏ, đầy cỏ, có cây thảo
Herdsman	Người chăm sóc súc vật
Here	Đây, ở đây, ở chỗ này
Hereabout	Quanh đây, gần đây
Hereabouts	Quanh đây, gần đây
Hereditary	Di truyền, cha truyền con nối
Hereditism	Thuyết di truyền
Hereditist	Người tin thuyết di truyền
Heredity	Tính di truyền
Hereon	Ngay sau đây, đến đấy
Heresiarch	Người sáng lập dị giáo
Heresy	Dị giáo
Heretic	Người theo dị giáo
Hereto	Theo đây, đính theo đây
Heretofore	Cho đến nay, trước đây
Hereunder	Dưới đây
Hereunto	Theo đây, đính theo đây
Hereupon	Ngay sau đây, đến đấy
Herewith	Kèm theo đây
Heritable	Di truyền được
Heritage	Tài sản thừa kế, di sản
Heritor	Người thừa kế, người thừa tự
Herl	Đi kéo lê
Herma	Xem herm
Hermetic	Kín
Hermetism	Xem hermeticism
Hermit	Nhà ẩn dật
Hermitage	Viện tu khổ hạnh
Hermitic	Thích hợp với nhà ẩn dật
Hermitical	Thích hợp với nhà ẩn dật
Herniate	Thoát vị
Hero	Người anh hùng
Heroes	Người anh hùng
Heroic	Anh hùng
Heroically	Anh hùng
Heroics	Bài thơ ca ngợi anh hùng
Heroify	Tôn thành anh hùng
Heroine	Nữ anh hùng
Heroise	Tôn thành anh hùng
Heroism	Thái độ anh hùng
Heroize	Tôn thành anh hùng
Heronry	Bãi diệc
Herpolhode	Dị thường sai quy tắc
